image name [10006_resized], angle_normal : tensor([[-0.1428]], device='cuda:0'), angle_fog : tensor([[-0.7737]], device='cuda:0'), diff: 0.6309
image name [3069_resized], angle_normal : tensor([[0.0832]], device='cuda:0'), angle_fog : tensor([[-0.3261]], device='cuda:0'), diff: 0.4093
image name [3070_resized], angle_normal : tensor([[0.0887]], device='cuda:0'), angle_fog : tensor([[-0.2465]], device='cuda:0'), diff: 0.3352
image name [30710_resized], angle_normal : tensor([[0.2557]], device='cuda:0'), angle_fog : tensor([[0.0982]], device='cuda:0'), diff: 0.1575
image name [30721_resized], angle_normal : tensor([[0.2246]], device='cuda:0'), angle_fog : tensor([[-0.3650]], device='cuda:0'), diff: 0.5895
image name [30732_resized], angle_normal : tensor([[0.1896]], device='cuda:0'), angle_fog : tensor([[-0.5827]], device='cuda:0'), diff: 0.7723
image name [30743_resized], angle_normal : tensor([[0.1268]], device='cuda:0'), angle_fog : tensor([[-0.4664]], device='cuda:0'), diff: 0.5932
image name [30754_resized], angle_normal : tensor([[0.0071]], device='cuda:0'), angle_fog : tensor([[-0.3253]], device='cuda:0'), diff: 0.3324
image name [30765_resized], angle_normal : tensor([[0.0579]], device='cuda:0'), angle_fog : tensor([[-0.3903]], device='cuda:0'), diff: 0.4482
image name [30776_resized], angle_normal : tensor([[0.1000]], device='cuda:0'), angle_fog : tensor([[-0.4742]], device='cuda:0'), diff: 0.5742
image name [30787_resized], angle_normal : tensor([[0.0961]], device='cuda:0'), angle_fog : tensor([[-0.1549]], device='cuda:0'), diff: 0.2510
image name [30798_resized], angle_normal : tensor([[0.1166]], device='cuda:0'), angle_fog : tensor([[-0.2093]], device='cuda:0'), diff: 0.3259
image name [30808_resized], angle_normal : tensor([[0.1983]], device='cuda:0'), angle_fog : tensor([[-0.2941]], device='cuda:0'), diff: 0.4924
image name [30819_resized], angle_normal : tensor([[0.1934]], device='cuda:0'), angle_fog : tensor([[-0.3221]], device='cuda:0'), diff: 0.5154
image name [3083_resized], angle_normal : tensor([[0.0451]], device='cuda:0'), angle_fog : tensor([[0.1079]], device='cuda:0'), diff: 0.0627
image name [30840_resized], angle_normal : tensor([[0.0954]], device='cuda:0'), angle_fog : tensor([[-0.4406]], device='cuda:0'), diff: 0.5360
image name [30851_resized], angle_normal : tensor([[0.0647]], device='cuda:0'), angle_fog : tensor([[-0.6016]], device='cuda:0'), diff: 0.6663
image name [30862_resized], angle_normal : tensor([[0.0539]], device='cuda:0'), angle_fog : tensor([[-0.4659]], device='cuda:0'), diff: 0.5198
image name [30873_resized], angle_normal : tensor([[-0.0891]], device='cuda:0'), angle_fog : tensor([[-0.3671]], device='cuda:0'), diff: 0.2780
image name [30884_resized], angle_normal : tensor([[-0.1572]], device='cuda:0'), angle_fog : tensor([[-0.4553]], device='cuda:0'), diff: 0.2981
image name [30895_resized], angle_normal : tensor([[-0.0443]], device='cuda:0'), angle_fog : tensor([[-0.7148]], device='cuda:0'), diff: 0.6704
image name [30905_resized], angle_normal : tensor([[0.0017]], device='cuda:0'), angle_fog : tensor([[-1.2892]], device='cuda:0'), diff: 1.2909
image name [30916_resized], angle_normal : tensor([[0.0349]], device='cuda:0'), angle_fog : tensor([[-1.3353]], device='cuda:0'), diff: 1.3702
image name [30927_resized], angle_normal : tensor([[0.1319]], device='cuda:0'), angle_fog : tensor([[-1.1342]], device='cuda:0'), diff: 1.2661
image name [30938_resized], angle_normal : tensor([[-0.3994]], device='cuda:0'), angle_fog : tensor([[0.8640]], device='cuda:0'), diff: 1.2635
image name [30949_resized], angle_normal : tensor([[-0.5705]], device='cuda:0'), angle_fog : tensor([[-0.3485]], device='cuda:0'), diff: 0.2219
image name [3096_resized], angle_normal : tensor([[0.0592]], device='cuda:0'), angle_fog : tensor([[0.1489]], device='cuda:0'), diff: 0.0897
image name [30970_resized], angle_normal : tensor([[-0.0561]], device='cuda:0'), angle_fog : tensor([[-0.2430]], device='cuda:0'), diff: 0.1868
image name [30981_resized], angle_normal : tensor([[-1.5082]], device='cuda:0'), angle_fog : tensor([[-0.2013]], device='cuda:0'), diff: 1.3069
image name [30992_resized], angle_normal : tensor([[-1.7148]], device='cuda:0'), angle_fog : tensor([[0.6587]], device='cuda:0'), diff: 2.3735
image name [31001_resized], angle_normal : tensor([[-1.2132]], device='cuda:0'), angle_fog : tensor([[1.8219]], device='cuda:0'), diff: 3.0351
image name [31012_resized], angle_normal : tensor([[-1.3551]], device='cuda:0'), angle_fog : tensor([[-0.2885]], device='cuda:0'), diff: 1.0666
image name [31023_resized], angle_normal : tensor([[-0.0565]], device='cuda:0'), angle_fog : tensor([[-0.1296]], device='cuda:0'), diff: 0.0731
image name [31034_resized], angle_normal : tensor([[-1.4573]], device='cuda:0'), angle_fog : tensor([[-0.1399]], device='cuda:0'), diff: 1.3174
image name [31045_resized], angle_normal : tensor([[-1.2156]], device='cuda:0'), angle_fog : tensor([[-0.3142]], device='cuda:0'), diff: 0.9014
image name [31056_resized], angle_normal : tensor([[-1.0283]], device='cuda:0'), angle_fog : tensor([[-0.1640]], device='cuda:0'), diff: 0.8643
image name [31067_resized], angle_normal : tensor([[-1.0905]], device='cuda:0'), angle_fog : tensor([[-0.0887]], device='cuda:0'), diff: 1.0018
image name [31078_resized], angle_normal : tensor([[-1.3108]], device='cuda:0'), angle_fog : tensor([[-0.0073]], device='cuda:0'), diff: 1.3035
image name [31089_resized], angle_normal : tensor([[-0.9838]], device='cuda:0'), angle_fog : tensor([[0.2900]], device='cuda:0'), diff: 1.2738
image name [3111_resized], angle_normal : tensor([[0.0403]], device='cuda:0'), angle_fog : tensor([[0.5844]], device='cuda:0'), diff: 0.5442
image name [31120_resized], angle_normal : tensor([[-0.3148]], device='cuda:0'), angle_fog : tensor([[-0.2726]], device='cuda:0'), diff: 0.0422
image name [31131_resized], angle_normal : tensor([[-0.1868]], device='cuda:0'), angle_fog : tensor([[-0.2798]], device='cuda:0'), diff: 0.0930
image name [31142_resized], angle_normal : tensor([[-0.0639]], device='cuda:0'), angle_fog : tensor([[-0.3343]], device='cuda:0'), diff: 0.2705
image name [31153_resized], angle_normal : tensor([[0.0117]], device='cuda:0'), angle_fog : tensor([[-0.3417]], device='cuda:0'), diff: 0.3533
image name [31164_resized], angle_normal : tensor([[0.0186]], device='cuda:0'), angle_fog : tensor([[-0.3361]], device='cuda:0'), diff: 0.3547
image name [31175_resized], angle_normal : tensor([[0.0353]], device='cuda:0'), angle_fog : tensor([[-0.3123]], device='cuda:0'), diff: 0.3477
image name [31186_resized], angle_normal : tensor([[-0.0008]], device='cuda:0'), angle_fog : tensor([[-0.3292]], device='cuda:0'), diff: 0.3284
image name [31197_resized], angle_normal : tensor([[0.0008]], device='cuda:0'), angle_fog : tensor([[-0.1296]], device='cuda:0'), diff: 0.1304
image name [311_resized], angle_normal : tensor([[2.4418]], device='cuda:0'), angle_fog : tensor([[-2.0418]], device='cuda:0'), diff: 4.4836
image name [31207_resized], angle_normal : tensor([[-0.0366]], device='cuda:0'), angle_fog : tensor([[-0.0275]], device='cuda:0'), diff: 0.0091
image name [31218_resized], angle_normal : tensor([[0.0644]], device='cuda:0'), angle_fog : tensor([[-0.0585]], device='cuda:0'), diff: 0.1229
image name [31229_resized], angle_normal : tensor([[0.0371]], device='cuda:0'), angle_fog : tensor([[-0.2752]], device='cuda:0'), diff: 0.3124
image name [3124_resized], angle_normal : tensor([[0.0478]], device='cuda:0'), angle_fog : tensor([[0.6975]], device='cuda:0'), diff: 0.6496
image name [31250_resized], angle_normal : tensor([[-0.1323]], device='cuda:0'), angle_fog : tensor([[-0.4247]], device='cuda:0'), diff: 0.2924
image name [31261_resized], angle_normal : tensor([[-0.4308]], device='cuda:0'), angle_fog : tensor([[-0.2061]], device='cuda:0'), diff: 0.2247
image name [31272_resized], angle_normal : tensor([[-0.2127]], device='cuda:0'), angle_fog : tensor([[-0.3396]], device='cuda:0'), diff: 0.1269
image name [31283_resized], angle_normal : tensor([[-0.1876]], device='cuda:0'), angle_fog : tensor([[-0.2159]], device='cuda:0'), diff: 0.0284
image name [31294_resized], angle_normal : tensor([[-0.1549]], device='cuda:0'), angle_fog : tensor([[-0.4582]], device='cuda:0'), diff: 0.3033
image name [31304_resized], angle_normal : tensor([[-0.1168]], device='cuda:0'), angle_fog : tensor([[-0.2445]], device='cuda:0'), diff: 0.1277
image name [31315_resized], angle_normal : tensor([[-0.1084]], device='cuda:0'), angle_fog : tensor([[-0.1913]], device='cuda:0'), diff: 0.0829
image name [31326_resized], angle_normal : tensor([[-0.1656]], device='cuda:0'), angle_fog : tensor([[-0.1307]], device='cuda:0'), diff: 0.0349
image name [31337_resized], angle_normal : tensor([[-0.0738]], device='cuda:0'), angle_fog : tensor([[-0.1836]], device='cuda:0'), diff: 0.1099
image name [31348_resized], angle_normal : tensor([[-0.1294]], device='cuda:0'), angle_fog : tensor([[-0.1403]], device='cuda:0'), diff: 0.0110
image name [31359_resized], angle_normal : tensor([[-0.1023]], device='cuda:0'), angle_fog : tensor([[-0.2446]], device='cuda:0'), diff: 0.1423
image name [3137_resized], angle_normal : tensor([[0.0431]], device='cuda:0'), angle_fog : tensor([[0.9259]], device='cuda:0'), diff: 0.8828
image name [31380_resized], angle_normal : tensor([[-0.0819]], device='cuda:0'), angle_fog : tensor([[-0.2841]], device='cuda:0'), diff: 0.2022
image name [31391_resized], angle_normal : tensor([[-0.0065]], device='cuda:0'), angle_fog : tensor([[-0.2973]], device='cuda:0'), diff: 0.2908
image name [31401_resized], angle_normal : tensor([[0.0436]], device='cuda:0'), angle_fog : tensor([[-0.2947]], device='cuda:0'), diff: 0.3383
image name [31412_resized], angle_normal : tensor([[0.0521]], device='cuda:0'), angle_fog : tensor([[-0.2809]], device='cuda:0'), diff: 0.3330
image name [31423_resized], angle_normal : tensor([[0.0653]], device='cuda:0'), angle_fog : tensor([[-0.2635]], device='cuda:0'), diff: 0.3288
image name [31434_resized], angle_normal : tensor([[0.0719]], device='cuda:0'), angle_fog : tensor([[-0.1727]], device='cuda:0'), diff: 0.2446
image name [31445_resized], angle_normal : tensor([[0.0792]], device='cuda:0'), angle_fog : tensor([[-0.2279]], device='cuda:0'), diff: 0.3071
image name [31456_resized], angle_normal : tensor([[0.0402]], device='cuda:0'), angle_fog : tensor([[-0.2905]], device='cuda:0'), diff: 0.3307
image name [31467_resized], angle_normal : tensor([[0.0365]], device='cuda:0'), angle_fog : tensor([[-0.3390]], device='cuda:0'), diff: 0.3755
image name [31478_resized], angle_normal : tensor([[-0.0131]], device='cuda:0'), angle_fog : tensor([[-0.3281]], device='cuda:0'), diff: 0.3150
image name [31489_resized], angle_normal : tensor([[-0.0534]], device='cuda:0'), angle_fog : tensor([[-0.2988]], device='cuda:0'), diff: 0.2455
image name [3151_resized], angle_normal : tensor([[0.0376]], device='cuda:0'), angle_fog : tensor([[0.8698]], device='cuda:0'), diff: 0.8322
image name [31520_resized], angle_normal : tensor([[0.4228]], device='cuda:0'), angle_fog : tensor([[-0.1203]], device='cuda:0'), diff: 0.5432
image name [31531_resized], angle_normal : tensor([[0.6765]], device='cuda:0'), angle_fog : tensor([[-0.2799]], device='cuda:0'), diff: 0.9563
image name [31542_resized], angle_normal : tensor([[0.9042]], device='cuda:0'), angle_fog : tensor([[-0.4090]], device='cuda:0'), diff: 1.3132
image name [31553_resized], angle_normal : tensor([[0.7916]], device='cuda:0'), angle_fog : tensor([[-0.1358]], device='cuda:0'), diff: 0.9273
image name [31564_resized], angle_normal : tensor([[0.9445]], device='cuda:0'), angle_fog : tensor([[-0.3674]], device='cuda:0'), diff: 1.3118
image name [31575_resized], angle_normal : tensor([[0.9671]], device='cuda:0'), angle_fog : tensor([[-0.4940]], device='cuda:0'), diff: 1.4612
image name [31586_resized], angle_normal : tensor([[0.6116]], device='cuda:0'), angle_fog : tensor([[-0.3625]], device='cuda:0'), diff: 0.9742
image name [31597_resized], angle_normal : tensor([[0.2862]], device='cuda:0'), angle_fog : tensor([[-0.1874]], device='cuda:0'), diff: 0.4736
image name [315_resized], angle_normal : tensor([[1.4820]], device='cuda:0'), angle_fog : tensor([[-2.1487]], device='cuda:0'), diff: 3.6307
image name [31607_resized], angle_normal : tensor([[0.1211]], device='cuda:0'), angle_fog : tensor([[-0.1933]], device='cuda:0'), diff: 0.3145
image name [31618_resized], angle_normal : tensor([[0.0195]], device='cuda:0'), angle_fog : tensor([[-0.1943]], device='cuda:0'), diff: 0.2138
image name [31629_resized], angle_normal : tensor([[-0.0503]], device='cuda:0'), angle_fog : tensor([[-0.1885]], device='cuda:0'), diff: 0.1382
image name [3164_resized], angle_normal : tensor([[0.0430]], device='cuda:0'), angle_fog : tensor([[0.8210]], device='cuda:0'), diff: 0.7780
image name [31650_resized], angle_normal : tensor([[-0.1809]], device='cuda:0'), angle_fog : tensor([[-0.0781]], device='cuda:0'), diff: 0.1028
image name [31661_resized], angle_normal : tensor([[-0.2434]], device='cuda:0'), angle_fog : tensor([[-0.0986]], device='cuda:0'), diff: 0.1448
image name [31672_resized], angle_normal : tensor([[-0.2235]], device='cuda:0'), angle_fog : tensor([[-0.1207]], device='cuda:0'), diff: 0.1027
image name [31683_resized], angle_normal : tensor([[-0.1380]], device='cuda:0'), angle_fog : tensor([[-0.1531]], device='cuda:0'), diff: 0.0150
image name [31694_resized], angle_normal : tensor([[-0.1598]], device='cuda:0'), angle_fog : tensor([[-0.0863]], device='cuda:0'), diff: 0.0735
image name [31704_resized], angle_normal : tensor([[-0.1904]], device='cuda:0'), angle_fog : tensor([[-0.0862]], device='cuda:0'), diff: 0.1042
image name [31715_resized], angle_normal : tensor([[-0.1678]], device='cuda:0'), angle_fog : tensor([[-0.0847]], device='cuda:0'), diff: 0.0831
image name [31726_resized], angle_normal : tensor([[-0.1578]], device='cuda:0'), angle_fog : tensor([[-0.1056]], device='cuda:0'), diff: 0.0523
image name [31737_resized], angle_normal : tensor([[-0.0425]], device='cuda:0'), angle_fog : tensor([[-0.1656]], device='cuda:0'), diff: 0.1232
image name [31748_resized], angle_normal : tensor([[-0.0156]], device='cuda:0'), angle_fog : tensor([[-0.1752]], device='cuda:0'), diff: 0.1596
image name [3177_resized], angle_normal : tensor([[0.0419]], device='cuda:0'), angle_fog : tensor([[0.6858]], device='cuda:0'), diff: 0.6440
image name [31780_resized], angle_normal : tensor([[-0.5276]], device='cuda:0'), angle_fog : tensor([[-0.1026]], device='cuda:0'), diff: 0.4250
image name [31791_resized], angle_normal : tensor([[-0.6923]], device='cuda:0'), angle_fog : tensor([[-0.2094]], device='cuda:0'), diff: 0.4829
image name [31801_resized], angle_normal : tensor([[-0.7673]], device='cuda:0'), angle_fog : tensor([[-0.2368]], device='cuda:0'), diff: 0.5305
image name [31812_resized], angle_normal : tensor([[-0.6940]], device='cuda:0'), angle_fog : tensor([[-0.2402]], device='cuda:0'), diff: 0.4538
image name [31823_resized], angle_normal : tensor([[-0.7427]], device='cuda:0'), angle_fog : tensor([[-0.0931]], device='cuda:0'), diff: 0.6496
image name [31834_resized], angle_normal : tensor([[-0.5339]], device='cuda:0'), angle_fog : tensor([[-0.0406]], device='cuda:0'), diff: 0.4933
image name [31845_resized], angle_normal : tensor([[-0.3263]], device='cuda:0'), angle_fog : tensor([[-0.1290]], device='cuda:0'), diff: 0.1973
image name [31856_resized], angle_normal : tensor([[-0.1664]], device='cuda:0'), angle_fog : tensor([[-0.1233]], device='cuda:0'), diff: 0.0431
image name [31867_resized], angle_normal : tensor([[-0.1127]], device='cuda:0'), angle_fog : tensor([[-0.0754]], device='cuda:0'), diff: 0.0373
image name [31878_resized], angle_normal : tensor([[-0.0606]], device='cuda:0'), angle_fog : tensor([[-0.0841]], device='cuda:0'), diff: 0.0234
image name [31889_resized], angle_normal : tensor([[-0.0922]], device='cuda:0'), angle_fog : tensor([[-0.1126]], device='cuda:0'), diff: 0.0203
image name [3191_resized], angle_normal : tensor([[0.0682]], device='cuda:0'), angle_fog : tensor([[0.3956]], device='cuda:0'), diff: 0.3274
image name [31920_resized], angle_normal : tensor([[-0.0102]], device='cuda:0'), angle_fog : tensor([[-0.1762]], device='cuda:0'), diff: 0.1660
image name [31931_resized], angle_normal : tensor([[0.0433]], device='cuda:0'), angle_fog : tensor([[-0.1930]], device='cuda:0'), diff: 0.2363
image name [31942_resized], angle_normal : tensor([[0.0834]], device='cuda:0'), angle_fog : tensor([[-0.1884]], device='cuda:0'), diff: 0.2718
image name [31953_resized], angle_normal : tensor([[0.0725]], device='cuda:0'), angle_fog : tensor([[-0.2799]], device='cuda:0'), diff: 0.3523
image name [31964_resized], angle_normal : tensor([[0.0733]], device='cuda:0'), angle_fog : tensor([[-0.3984]], device='cuda:0'), diff: 0.4717
image name [31975_resized], angle_normal : tensor([[0.1876]], device='cuda:0'), angle_fog : tensor([[-0.4643]], device='cuda:0'), diff: 0.6519
image name [31986_resized], angle_normal : tensor([[0.1318]], device='cuda:0'), angle_fog : tensor([[-0.5043]], device='cuda:0'), diff: 0.6361
image name [31997_resized], angle_normal : tensor([[0.3344]], device='cuda:0'), angle_fog : tensor([[-0.3243]], device='cuda:0'), diff: 0.6588
image name [319_resized], angle_normal : tensor([[0.9054]], device='cuda:0'), angle_fog : tensor([[-2.0983]], device='cuda:0'), diff: 3.0037
image name [32006_resized], angle_normal : tensor([[0.2917]], device='cuda:0'), angle_fog : tensor([[-0.1776]], device='cuda:0'), diff: 0.4693
image name [32017_resized], angle_normal : tensor([[0.3182]], device='cuda:0'), angle_fog : tensor([[-0.0832]], device='cuda:0'), diff: 0.4014
image name [32028_resized], angle_normal : tensor([[0.2596]], device='cuda:0'), angle_fog : tensor([[-0.0652]], device='cuda:0'), diff: 0.3248
image name [32039_resized], angle_normal : tensor([[0.3187]], device='cuda:0'), angle_fog : tensor([[-0.0694]], device='cuda:0'), diff: 0.3881
image name [3205_resized], angle_normal : tensor([[0.0577]], device='cuda:0'), angle_fog : tensor([[0.5927]], device='cuda:0'), diff: 0.5350
image name [32060_resized], angle_normal : tensor([[0.3619]], device='cuda:0'), angle_fog : tensor([[-0.2797]], device='cuda:0'), diff: 0.6416
image name [32082_resized], angle_normal : tensor([[0.2932]], device='cuda:0'), angle_fog : tensor([[-0.2633]], device='cuda:0'), diff: 0.5566
image name [32093_resized], angle_normal : tensor([[0.4050]], device='cuda:0'), angle_fog : tensor([[-0.1132]], device='cuda:0'), diff: 0.5181
image name [32103_resized], angle_normal : tensor([[0.2630]], device='cuda:0'), angle_fog : tensor([[-0.1387]], device='cuda:0'), diff: 0.4017
image name [32114_resized], angle_normal : tensor([[0.1837]], device='cuda:0'), angle_fog : tensor([[-0.2091]], device='cuda:0'), diff: 0.3928
image name [32125_resized], angle_normal : tensor([[0.3043]], device='cuda:0'), angle_fog : tensor([[-0.2207]], device='cuda:0'), diff: 0.5250
image name [32136_resized], angle_normal : tensor([[0.1790]], device='cuda:0'), angle_fog : tensor([[-0.1920]], device='cuda:0'), diff: 0.3710
image name [32147_resized], angle_normal : tensor([[0.2638]], device='cuda:0'), angle_fog : tensor([[-0.1819]], device='cuda:0'), diff: 0.4457
image name [32158_resized], angle_normal : tensor([[0.2634]], device='cuda:0'), angle_fog : tensor([[-0.1894]], device='cuda:0'), diff: 0.4528
image name [32169_resized], angle_normal : tensor([[0.2329]], device='cuda:0'), angle_fog : tensor([[-0.3089]], device='cuda:0'), diff: 0.5418
image name [3218_resized], angle_normal : tensor([[0.0350]], device='cuda:0'), angle_fog : tensor([[0.4729]], device='cuda:0'), diff: 0.4379
image name [32190_resized], angle_normal : tensor([[0.4995]], device='cuda:0'), angle_fog : tensor([[-0.3158]], device='cuda:0'), diff: 0.8153
image name [32200_resized], angle_normal : tensor([[0.7200]], device='cuda:0'), angle_fog : tensor([[-0.0841]], device='cuda:0'), diff: 0.8041
image name [32211_resized], angle_normal : tensor([[0.9176]], device='cuda:0'), angle_fog : tensor([[-0.2274]], device='cuda:0'), diff: 1.1450
image name [32222_resized], angle_normal : tensor([[0.7400]], device='cuda:0'), angle_fog : tensor([[-0.3013]], device='cuda:0'), diff: 1.0413
image name [32233_resized], angle_normal : tensor([[0.8300]], device='cuda:0'), angle_fog : tensor([[-0.5353]], device='cuda:0'), diff: 1.3653
image name [32244_resized], angle_normal : tensor([[0.7318]], device='cuda:0'), angle_fog : tensor([[-0.5873]], device='cuda:0'), diff: 1.3191
image name [32255_resized], angle_normal : tensor([[0.6003]], device='cuda:0'), angle_fog : tensor([[-0.5275]], device='cuda:0'), diff: 1.1278
image name [32266_resized], angle_normal : tensor([[0.4802]], device='cuda:0'), angle_fog : tensor([[-0.2856]], device='cuda:0'), diff: 0.7658
image name [32277_resized], angle_normal : tensor([[0.3782]], device='cuda:0'), angle_fog : tensor([[-0.1818]], device='cuda:0'), diff: 0.5600
image name [32288_resized], angle_normal : tensor([[0.3236]], device='cuda:0'), angle_fog : tensor([[-0.1779]], device='cuda:0'), diff: 0.5015
image name [32299_resized], angle_normal : tensor([[0.3035]], device='cuda:0'), angle_fog : tensor([[-0.1883]], device='cuda:0'), diff: 0.4919
image name [32309_resized], angle_normal : tensor([[0.3041]], device='cuda:0'), angle_fog : tensor([[-0.1202]], device='cuda:0'), diff: 0.4243
image name [3232_resized], angle_normal : tensor([[0.0436]], device='cuda:0'), angle_fog : tensor([[0.4355]], device='cuda:0'), diff: 0.3918
image name [32330_resized], angle_normal : tensor([[0.0847]], device='cuda:0'), angle_fog : tensor([[-0.1790]], device='cuda:0'), diff: 0.2637
image name [32341_resized], angle_normal : tensor([[0.0714]], device='cuda:0'), angle_fog : tensor([[-0.1932]], device='cuda:0'), diff: 0.2646
image name [32352_resized], angle_normal : tensor([[0.0272]], device='cuda:0'), angle_fog : tensor([[-0.2493]], device='cuda:0'), diff: 0.2765
image name [32363_resized], angle_normal : tensor([[0.0278]], device='cuda:0'), angle_fog : tensor([[-0.2498]], device='cuda:0'), diff: 0.2775
image name [32374_resized], angle_normal : tensor([[0.1010]], device='cuda:0'), angle_fog : tensor([[-0.2671]], device='cuda:0'), diff: 0.3681
image name [32385_resized], angle_normal : tensor([[0.1121]], device='cuda:0'), angle_fog : tensor([[-0.2898]], device='cuda:0'), diff: 0.4019
image name [32396_resized], angle_normal : tensor([[0.1037]], device='cuda:0'), angle_fog : tensor([[-0.3050]], device='cuda:0'), diff: 0.4087
image name [32406_resized], angle_normal : tensor([[0.0738]], device='cuda:0'), angle_fog : tensor([[-0.3054]], device='cuda:0'), diff: 0.3792
image name [32417_resized], angle_normal : tensor([[-0.0656]], device='cuda:0'), angle_fog : tensor([[-0.2844]], device='cuda:0'), diff: 0.2188
image name [32428_resized], angle_normal : tensor([[-0.1825]], device='cuda:0'), angle_fog : tensor([[-0.3148]], device='cuda:0'), diff: 0.1323
image name [32439_resized], angle_normal : tensor([[-0.2585]], device='cuda:0'), angle_fog : tensor([[-0.2414]], device='cuda:0'), diff: 0.0171
image name [3245_resized], angle_normal : tensor([[0.0450]], device='cuda:0'), angle_fog : tensor([[0.5751]], device='cuda:0'), diff: 0.5302
image name [32460_resized], angle_normal : tensor([[-0.4220]], device='cuda:0'), angle_fog : tensor([[-0.1887]], device='cuda:0'), diff: 0.2333
image name [32471_resized], angle_normal : tensor([[-0.5073]], device='cuda:0'), angle_fog : tensor([[-0.3872]], device='cuda:0'), diff: 0.1202
image name [32482_resized], angle_normal : tensor([[-0.4074]], device='cuda:0'), angle_fog : tensor([[-0.3237]], device='cuda:0'), diff: 0.0837
image name [32493_resized], angle_normal : tensor([[-0.5026]], device='cuda:0'), angle_fog : tensor([[-0.0807]], device='cuda:0'), diff: 0.4219
image name [32503_resized], angle_normal : tensor([[-0.5350]], device='cuda:0'), angle_fog : tensor([[-0.0438]], device='cuda:0'), diff: 0.4912
image name [32514_resized], angle_normal : tensor([[-0.4187]], device='cuda:0'), angle_fog : tensor([[-0.1628]], device='cuda:0'), diff: 0.2559
image name [32525_resized], angle_normal : tensor([[-0.4157]], device='cuda:0'), angle_fog : tensor([[-0.2598]], device='cuda:0'), diff: 0.1559
image name [32536_resized], angle_normal : tensor([[-0.4201]], device='cuda:0'), angle_fog : tensor([[-0.2123]], device='cuda:0'), diff: 0.2078
image name [32558_resized], angle_normal : tensor([[-0.5372]], device='cuda:0'), angle_fog : tensor([[-0.3089]], device='cuda:0'), diff: 0.2283
image name [32569_resized], angle_normal : tensor([[-0.4347]], device='cuda:0'), angle_fog : tensor([[-0.4616]], device='cuda:0'), diff: 0.0269
image name [3258_resized], angle_normal : tensor([[0.0434]], device='cuda:0'), angle_fog : tensor([[0.7343]], device='cuda:0'), diff: 0.6908
image name [32590_resized], angle_normal : tensor([[-0.6117]], device='cuda:0'), angle_fog : tensor([[-0.2734]], device='cuda:0'), diff: 0.3383
image name [32600_resized], angle_normal : tensor([[-0.6055]], device='cuda:0'), angle_fog : tensor([[-0.3034]], device='cuda:0'), diff: 0.3021
image name [32611_resized], angle_normal : tensor([[-0.5776]], device='cuda:0'), angle_fog : tensor([[-0.1943]], device='cuda:0'), diff: 0.3833
image name [32622_resized], angle_normal : tensor([[-0.3975]], device='cuda:0'), angle_fog : tensor([[-0.0851]], device='cuda:0'), diff: 0.3124
image name [32633_resized], angle_normal : tensor([[-0.2665]], device='cuda:0'), angle_fog : tensor([[-0.0486]], device='cuda:0'), diff: 0.2179
image name [32644_resized], angle_normal : tensor([[-0.2837]], device='cuda:0'), angle_fog : tensor([[-0.0588]], device='cuda:0'), diff: 0.2249
image name [32655_resized], angle_normal : tensor([[-0.2715]], device='cuda:0'), angle_fog : tensor([[-0.0454]], device='cuda:0'), diff: 0.2261
image name [32666_resized], angle_normal : tensor([[-0.1920]], device='cuda:0'), angle_fog : tensor([[-0.0284]], device='cuda:0'), diff: 0.1636
image name [32677_resized], angle_normal : tensor([[-0.0089]], device='cuda:0'), angle_fog : tensor([[-0.0579]], device='cuda:0'), diff: 0.0490
image name [32688_resized], angle_normal : tensor([[-0.0011]], device='cuda:0'), angle_fog : tensor([[-0.0414]], device='cuda:0'), diff: 0.0403
image name [32699_resized], angle_normal : tensor([[0.0354]], device='cuda:0'), angle_fog : tensor([[-0.0823]], device='cuda:0'), diff: 0.1177
image name [32709_resized], angle_normal : tensor([[0.0735]], device='cuda:0'), angle_fog : tensor([[-0.0911]], device='cuda:0'), diff: 0.1646
image name [3272_resized], angle_normal : tensor([[0.0420]], device='cuda:0'), angle_fog : tensor([[0.8003]], device='cuda:0'), diff: 0.7583
image name [32730_resized], angle_normal : tensor([[0.1444]], device='cuda:0'), angle_fog : tensor([[-0.0896]], device='cuda:0'), diff: 0.2340
image name [32741_resized], angle_normal : tensor([[0.0344]], device='cuda:0'), angle_fog : tensor([[-0.1951]], device='cuda:0'), diff: 0.2295
image name [32752_resized], angle_normal : tensor([[-0.0600]], device='cuda:0'), angle_fog : tensor([[-0.1878]], device='cuda:0'), diff: 0.1279
image name [32763_resized], angle_normal : tensor([[-0.1047]], device='cuda:0'), angle_fog : tensor([[-0.1147]], device='cuda:0'), diff: 0.0100
image name [32774_resized], angle_normal : tensor([[-0.3140]], device='cuda:0'), angle_fog : tensor([[-0.1309]], device='cuda:0'), diff: 0.1831
image name [32785_resized], angle_normal : tensor([[-0.3767]], device='cuda:0'), angle_fog : tensor([[-0.0805]], device='cuda:0'), diff: 0.2962
image name [32796_resized], angle_normal : tensor([[-0.1752]], device='cuda:0'), angle_fog : tensor([[-0.1341]], device='cuda:0'), diff: 0.0411
image name [32806_resized], angle_normal : tensor([[-0.0908]], device='cuda:0'), angle_fog : tensor([[-0.0816]], device='cuda:0'), diff: 0.0092
image name [32817_resized], angle_normal : tensor([[-0.0284]], device='cuda:0'), angle_fog : tensor([[-0.0992]], device='cuda:0'), diff: 0.0709
